ID,time,original_text,summary_text
1,0:00:15,大家好，首先我们说说什么是数据库，数据库都用在哪儿？所谓库，一般只集中存放大量同类事物，比如水库、油库就是集中存放大量水或大量油。数据库，顾名思义就是包含大量数据。正式的讲，包含关于某部门、机构、单位，或是某领域业务主题，或是某多项信息互相关联的大量数据的集合，称作数据库。,介绍数据库的定义和基本含义，说明数据库是包含大量相关联数据的集合。
2,0:00:51,当今世界数据库非常广泛地应用在生产生活的方方面面。比如，高等学校管理信息系统数据库，包含学生课程、学生选课数据、教师教学和评价数据、科研论文和项目数据，也可以包括课程习题集、答案集以及试卷和学生考卷细节得分的数据。,说明数据库广泛应用于高校管理系统，如学生选课、教师评价等信息的存储。
3,0:01:20,比如应急中心数据库，包含地震、洪水、干旱、滑坡、泥石流等突发事件监测防控预测预警、应急保障、指挥调动、灾后恢复应急预案等数据。,介绍应急数据库的应用，包括灾害预测、指挥调度和恢复数据的管理。
4,0:01:34,比如微信、微博、博客、QQ 等社交网络平台数据库，保存用户基本信息数据、相互发送的消息数据、评论数据、转载数据、微信支付相关数据等等。,说明社交平台数据库保存用户信息、消息、评论和支付等数据。
5,0:01:52,还有电子商务平台数据库，保存商家及其供销商品数据，客户及其购买订单处理等数据。,指出电商和云平台数据库支持商品交易和平台运行状态的实时监控。
6,0:02:00,技术本质上，社交网络、电子商务等互联网＋应用就是大量用户通过网络交互访问平台数据库。又如云平台监测管理系统，依赖数据库保存整个云平台的实时运行状态、各个应用基本信息和状态、服务基本信息和状态、虚拟机运行状态等数据。,说明互联网+应用的本质是用户交互访问数据库，云平台通过数据库实时监控系统与服务运行状态。
7,0:02:25,又如通讯数据库保存客户通话、短信、网络流量等数据，又如银行数据库保存账户存取款、贷还款数据；再如企业信息数据库，保存员工工资、工作量、津贴、配件购买与存放、零件加工和产品销售等数据；再如航空铁路公路运输数据库，保存运输班次、售票数据。,进一步举例数据库在通讯、银行、企业和交通运输系统中的应用。
8,0:02:52,我们说数据库包含互相关联的大量数据。这里数据的概念是广义的，既可以包括数值型数据，比如整数、实数、浮点数。也可以包括文本、图形、图像、音频、视频等数据。,解释数据库中数据类型的多样性，包括数值、文本、图像、音视频等。
9,0:03:12,包含互相关联数据集合的数据库也是广义的，可以是各种形式，比如可以是打印或写在纸上，或者是保存在Text 的文件Word 文件Excel 或者其他文件中，或者是用  PostgreSQL、 Db2、Oracle.、Sql server 等软件系统管理起来的。,说明数据库形式多样，可纸质存储，也可由各种数据库软件系统管理。
10,0:03:37,咱们这门课所讲的数据库是特指用专门通用软件管理，长期存储在计算机内、有组织、可共享的大量数据的集合。这些数据库构成了现代企业、大学、国家政府机构、公司单位的信息化基础，帮助且大大提高管理效率和水平。,明确课程中数据库定义为长期存储、可共享的计算机管理数据集合。
11,0:04:03,我们把这类专门的通用软件称为数据库管理系统，英语是 Database Management System. 缩写为 DBMS。DBMS ，是位于用户与操作系统之间的一层软件。它是一个大型的、复杂的系统软件。领先的著名数据库管理系统DBMS有Postgresql、Db2、Oracle、Sql Server 等。,介绍数据库管理系统（DBMS）的定义及主流软件名称。
12,0:04:34,我们应该注意到，并非有大量水就叫水库，有大量油就叫油库。水库油库不仅指大量同类事物的存在，更强调有一套行之有效的管理系统。比如水质油质的监控，用水用油的协调，正如水库、油库一样，数据库也是更强调对数据的有效组织和管理。,通过水库油库类比，强调数据库不仅是数据集合，更注重管理系统。
13,0:05:01,各行各业的业务系统都涉及大量数据，都需要有效组织和管理相关的大量数据。以数据插入、删除、更新和查询为基础，简单、安全、高效的实现各自关键的功能。抽取所有这些应用需求的共性，实现为通用的数据库管理系统可以大大简化应用的开发。数据库管理系统，从应用对数据管理需求的共性特征出发，能有效支持安全方便的数据管理，已经极大地并将继续推动各行各业的信息化发展。,说明 DBMS 通过通用功能支持各行业数据管理，推动信息化。
14,0:05:42,这一节我们讲了数据库的概念，再见。,总结本节课程内容，结束语。
